hero_id,name,primary_attr,roles_list
31,Lich,int,"['Support', 'Nuker']"
32,Riki,agi,"['Carry', 'Escape', 'Disabler']"
33,Enigma,all,"['Disabler', 'Initiator', 'Pusher']"
34,Tinker,int,"['Carry', 'Nuker', 'Pusher']"
35,Sniper,agi,"['Carry', 'Nuker']"
36,Necrophos,int,"['Carry', 'Nuker', 'Durable', 'Disabler']"
37,Warlock,int,"['Support', 'Initiator', 'Disabler']"
38,Beastmaster,all,"['Initiator', 'Disabler', 'Durable', 'Nuker']"
39,Queen of Pain,int,"['Carry', 'Nuker', 'Escape']"
40,Venomancer,all,"['Support', 'Nuker', 'Initiator', 'Pusher', 'Disabler']"
41,Faceless Void,agi,"['Carry', 'Initiator', 'Disabler', 'Escape', 'Durable']"
42,Wraith King,str,"['Carry', 'Support', 'Durable', 'Disabler', 'Initiator']"
43,Death Prophet,all,"['Carry', 'Pusher', 'Nuker', 'Disabler']"
44,Phantom Assassin,agi,"['Carry', 'Escape']"
45,Pugna,int,"['Nuker', 'Pusher']"
46,Templar Assassin,agi,"['Carry', 'Escape']"
47,Viper,agi,"['Carry', 'Durable', 'Initiator', 'Disabler']"
48,Luna,agi,"['Carry', 'Nuker', 'Pusher']"
49,Dragon Knight,str,"['Carry', 'Pusher', 'Durable', 'Disabler', 'Initiator', 'Nuker']"
50,Dazzle,all,"['Support', 'Nuker', 'Disabler']"
51,Clockwerk,str,"['Initiator', 'Disabler', 'Durable', 'Nuker']"
52,Leshrac,int,"['Carry', 'Support', 'Nuker', 'Pusher', 'Disabler']"
53,Nature's Prophet,all,"['Carry', 'Pusher', 'Escape', 'Nuker']"
54,Lifestealer,str,"['Carry', 'Durable', 'Escape', 'Disabler']"
55,Dark Seer,int,"['Initiator', 'Escape', 'Disabler']"
56,Clinkz,agi,"['Carry', 'Escape', 'Pusher']"
57,Omniknight,str,"['Support', 'Durable', 'Nuker']"
58,Enchantress,int,"['Support', 'Pusher', 'Durable', 'Disabler']"
59,Huskar,str,"['Carry', 'Durable', 'Initiator']"
60,Night Stalker,str,"['Carry', 'Initiator', 'Durable', 'Disabler', 'Nuker']"
61,Broodmother,agi,"['Carry', 'Pusher', 'Escape', 'Nuker']"
62,Bounty Hunter,agi,"['Escape', 'Nuker']"
63,Weaver,agi,"['Carry', 'Escape']"
64,Jakiro,int,"['Support', 'Nuker', 'Pusher', 'Disabler']"
65,Batrider,all,"['Initiator', 'Disabler', 'Escape']"
66,Chen,int,"['Support', 'Pusher']"
67,Spectre,all,"['Carry', 'Durable', 'Escape']"
68,Ancient Apparition,int,"['Support', 'Disabler', 'Nuker']"
69,Doom,str,"['Carry', 'Disabler', 'Initiator', 'Durable', 'Nuker']"
70,Ursa,agi,"['Carry', 'Durable', 'Disabler']"
71,Spirit Breaker,str,"['Carry', 'Initiator', 'Disabler', 'Durable', 'Escape']"
72,Gyrocopter,agi,"['Carry', 'Nuker', 'Disabler']"
73,Alchemist,str,"['Carry', 'Support', 'Durable', 'Disabler', 'Initiator', 'Nuker']"
74,Invoker,int,"['Carry', 'Nuker', 'Disabler', 'Escape', 'Pusher']"
75,Silencer,int,"['Carry', 'Support', 'Disabler', 'Initiator', 'Nuker']"
76,Outworld Destroyer,int,"['Carry', 'Nuker', 'Disabler']"
77,Lycan,str,"['Carry', 'Pusher', 'Durable', 'Escape']"
78,Brewmaster,all,"['Carry', 'Initiator', 'Durable', 'Disabler', 'Nuker']"
79,Shadow Demon,int,"['Support', 'Disabler', 'Initiator', 'Nuker']"
80,Lone Druid,agi,"['Carry', 'Pusher', 'Durable']"
81,Chaos Knight,str,"['Carry', 'Disabler', 'Durable', 'Pusher', 'Initiator']"
82,Meepo,agi,"['Carry', 'Escape', 'Nuker', 'Disabler', 'Initiator', 'Pusher']"
83,Treant Protector,str,"['Support', 'Initiator', 'Durable', 'Disabler', 'Escape']"
84,Ogre Magi,str,"['Support', 'Nuker', 'Disabler', 'Durable', 'Initiator']"
85,Undying,str,"['Support', 'Durable', 'Disabler', 'Nuker']"
86,Rubick,int,"['Support', 'Disabler', 'Nuker']"
87,Disruptor,int,"['Support', 'Disabler', 'Nuker', 'Initiator']"
88,Nyx Assassin,all,"['Disabler', 'Nuker', 'Initiator', 'Escape']"
89,Naga Siren,agi,"['Carry', 'Support', 'Pusher', 'Disabler', 'Initiator', 'Escape']"
90,Keeper of the Light,int,"['Support', 'Nuker', 'Disabler']"
91,Io,all,"['Support', 'Escape', 'Nuker']"
92,Visage,all,"['Support', 'Nuker', 'Durable', 'Disabler', 'Pusher']"
93,Slark,agi,"['Carry', 'Escape', 'Disabler', 'Nuker']"
94,Medusa,agi,"['Carry', 'Disabler', 'Durable']"
95,Troll Warlord,agi,"['Carry', 'Pusher', 'Disabler', 'Durable']"
96,Centaur Warrunner,str,"['Durable', 'Initiator', 'Disabler', 'Nuker', 'Escape']"
97,Magnus,all,"['Initiator', 'Disabler', 'Nuker', 'Escape']"
98,Timbersaw,str,"['Nuker', 'Durable', 'Escape']"
99,Bristleback,str,"['Carry', 'Durable', 'Initiator', 'Nuker']"
100,Tusk,str,"['Initiator', 'Disabler', 'Nuker']"
101,Skywrath Mage,int,"['Support', 'Nuker', 'Disabler']"
102,Abaddon,all,"['Support', 'Carry', 'Durable']"
103,Elder Titan,str,"['Initiator', 'Disabler', 'Nuker', 'Durable']"
104,Legion Commander,str,"['Carry', 'Disabler', 'Initiator', 'Durable', 'Nuker']"
105,Techies,all,"['Nuker', 'Disabler']"
106,Ember Spirit,agi,"['Carry', 'Escape', 'Nuker', 'Disabler', 'Initiator']"
107,Earth Spirit,str,"['Nuker', 'Escape', 'Disabler', 'Initiator', 'Durable']"
108,Underlord,str,"['Support', 'Nuker', 'Disabler', 'Durable', 'Escape']"
109,Terrorblade,agi,"['Carry', 'Pusher', 'Nuker']"
110,Phoenix,str,"['Support', 'Nuker', 'Initiator', 'Escape', 'Disabler']"
111,Oracle,int,"['Support', 'Nuker', 'Disabler', 'Escape']"
112,Winter Wyvern,int,"['Support', 'Disabler', 'Nuker']"
113,Arc Warden,all,"['Carry', 'Escape', 'Nuker']"
114,Monkey King,agi,"['Carry', 'Escape', 'Disabler', 'Initiator']"
119,Dark Willow,int,"['Support', 'Nuker', 'Disabler', 'Escape']"
120,Pangolier,all,"['Carry', 'Nuker', 'Disabler', 'Durable', 'Escape', 'Initiator']"
121,Grimstroke,int,"['Support', 'Nuker', 'Disabler', 'Escape']"
123,Hoodwink,agi,"['Support', 'Nuker', 'Escape', 'Disabler']"
126,Void Spirit,all,"['Carry', 'Escape', 'Nuker', 'Disabler']"
128,Snapfire,all,"['Support', 'Nuker', 'Disabler', 'Escape']"
129,Mars,str,"['Carry', 'Initiator', 'Disabler', 'Durable']"
131,Ringmaster,int,"['Support', 'Nuker', 'Escape', 'Disabler']"
135,Dawnbreaker,str,"['Carry', 'Durable']"
136,Marci,all,"['Support', 'Carry', 'Initiator', 'Disabler', 'Escape']"
137,Primal Beast,str,"['Initiator', 'Durable', 'Disabler']"
138,Muerta,int,"['Carry', 'Nuker', 'Disabler']"
145,Kez,agi,"['Carry', 'Escape', 'Disabler']"
